State/UT,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Andhra Pradesh,413164,470934,544827,612349,705890,790810,874402,917920,1085625
Arunachal Pradesh,13377,16495,16986,18210,20562,23203,27536,29354,NA
Assam,160442,172849,201309,222397,253726,276625,311031,303016,NA
Bihar,292143,315732,340119,386879,431128,483604,533234,533583,614431
Chhattisgarh,186050,197314,200653,232640,254577,283385,307995,312532,NA
Goa,32043,43233,50354,57449,62873,65083,67354,67075,NA
Gujarat,707456,804764,893997,1016683,1166370,1318696,1437478,1459229,NA
Haryana,362196,392950,446059,507276,579685,629035,687996,683810,808030
Himachal Pradesh,80129,87345,96851,108359,119704,127257,136083,135190,150866
Jammu and Kashmir,79692,81037,98409,104575,117075,132832,NA,NA,NA
Jharkhand,172030,200357,187479,216791,247302,280417,282924,271839,304903
Karnataka,746569,825782,950866,1102636,1209019,1343103,1467522,1575400,1870429
Kerala,417265,460614,505910,570591,632094,712161,742223,718034,811517
Madhya Pradesh,393115,429027,486034,590669,660761,756128,854702,881530,1061297
Maharashtra,1448720,1553217,1735308,1954774,2081195,2264092,2408482,2393953,NA
Manipur,14440,16275,17493,19132,23557,24840,28353,30866,NA
Meghalaya,20415,20697,22516,24641,26452,28821,31222,30791,33690
Mizoram,8989,12067,13595,15431,18239,19534,18437,17463,NA
Nagaland,14545,16104,17128,19174,21645,23412,26528,26923,NA
Orrisa,260977,274923,283979,342332,387517,439649,467925,462358,571793
Punjab,297908,316745,350011,384197,422638,459218,478916,471074,516142
Rajasthan,494236,551517,610713,682626,748490,819340,898081,914262,1078903
Sikkim,12203,13556,15743,18163,22835,24801,27522,27778,32133
Tamil Nadu,858870,957350,1057084,1171973,1317984,1468449,1564831,1617931,1845519
Telangana,408282,456280,522994,597812,679427,778391,864105,868926,1041617
Tripura,23329,26643,32476,35668,39505,44901,48728,48527,57589
Uttar Pradesh,833825,891798,1009386,1145620,1279619,1397986,1494889,1425330,1614798
Uttarakhand,131814,143789,158277,175178,198202,206467,211374,207289,225097
West Bengal,617470,651492,725992,794033,890757,1004649,1100651,1186857,NA
"Andaman and Nicobar
Islands",4288,4915,5359,6048,7059,8088,8742,NA,NA
Chandigarh,22308,23662,25991,28881,32511,36106,38934,35216,NA
Delhi,404841,448487,500524,558546,613631,665808,713549,702519,836162
Jammu & Kashmir-U.T.,,,,,,,135139,137397,162926
