Financial Year,GVA at Basic Prices,Net taxes on Products,Gross Domestic Product,Gross National Income,Net National Income,Per Capita GDP,Per Capita GNI,Per Capita NNI
1950-01-01,479210,17638.0,496848,495274,448483,13840,13796,12493
1951-01-01,490399,21091.0,511489,510505,465486,14013,13986,12753
1952-01-01,504315,20604.0,524919,524122,480731,14111,14089,12923
1953-01-01,535010,22193.0,557203,556545,514489,14702,14685,13575
1954-01-01,557724,26287.0,584011,583005,548393,15130,15104,14207
1955-01-01,572009,30902.0,602911,602537,567499,15341,15332,14440
1956-01-01,604570,31974.0,636544,635962,599736,15874,15859,14956
1957-01-01,597260,36667.0,633927,633039,595941,15499,15478,14571
1958-01-01,642587,38189.0,680776,679555,640433,16286,16257,15321
1959-01-01,656648,41996.0,698644,696488,656423,16400,16349,15409
1960-01-01,703138,33906.0,737044,734466,694569,16983,16923,16004
1961-01-01,724957,39525.0,764482,761038,719592,17218,17140,16207
1962-01-01,740293,46597.0,786890,782931,739509,17332,17245,16289
1963-01-01,777773,56286.0,834059,830072,784625,17975,17889,16910
1964-01-01,836759,59462.0,896221,891111,842755,18908,18800,17780
1965-01-01,806176,66423.0,872598,867165,816540,17992,17880,16836
1966-01-01,814380,57735.0,872116,866818,812952,17618,17511,16423
1967-01-01,880654,59713.0,940367,933850,876628,18584,18456,17325
1968-01-01,903636,68590.0,972226,966014,905884,18769,18649,17488
1969-01-01,962522,73285.0,1035807,1029151,965200,19580,19455,18246
1970-01-01,1010777,78449.0,1089226,1082340,1011757,20134,20006,18702
1971-01-01,1020982,86138.0,1107121,1100363,1026822,19984,19862,18535
1972-01-01,1017730,83265.0,1100995,1094795,1018453,19418,19309,17962
1973-01-01,1064051,73228.0,1137279,1131633,1052122,19608,19511,18140
1974-01-01,1076403,74357.0,1150759,1146339,1062259,19406,19331,17913
1975-01-01,1173327,82726.0,1256053,1252240,1164066,20693,20630,19177
1976-01-01,1187992,88950.0,1276942,1273436,1179925,20596,20539,19031
1977-01-01,1276734,92847.0,1369581,1366655,1269352,21602,21556,20021
1978-01-01,1346987,100832.0,1447819,1445029,1343841,22343,22300,20738
1979-01-01,1276924,95056.0,1371980,1371460,1265522,20662,20655,19059
1980-01-01,1368481,95913.0,1464394,1464390,1352931,21567,21567,19925
1981-01-01,1445465,106883.0,1552348,1550504,1433659,22433,22406,20718
1982-01-01,1487737,118567.0,1606304,1599940,1476733,22688,22598,20858
1983-01-01,1604580,118805.0,1723386,1716327,1587882,23837,23739,21962
1984-01-01,1668141,121090.0,1789232,1779406,1642628,24212,24079,22228
1985-01-01,1737565,145678.0,1883243,1873425,1728209,24944,24814,22890
1986-01-01,1812537,160660.0,1973197,1962251,1808778,25593,25451,23460
1987-01-01,1876600,174842.0,2051442,2036744,1872727,26034,25847,23766
1988-01-01,2067262,181689.0,2248950,2227956,2055937,27937,27676,25540
1989-01-01,2194056,188646.0,2382703,2360178,2178379,28987,28713,26501
1990-01-01,2310015,204534.0,2514549,2486353,2292078,29971,29635,27319
1991-01-01,2343059,198064.0,2541123,2511622,2303954,29686,29341,26915
1992-01-01,2468738,211700.0,2680438,2650632,2431154,30739,30397,27880
1993-01-01,2608995,198785.0,2807779,2780663,2551800,31477,31173,28608
1994-01-01,2775834,218913.0,2994747,2967254,2723964,32909,32607,29934
1995-01-01,2978143,243441.0,3221584,3192013,2934298,34715,34397,31620
1996-01-01,3215638,249160.0,3464798,3436436,3163037,36626,36326,33436
1997-01-01,3353964,251152.0,3605116,3581984,3287915,37397,37158,34107
1998-01-01,3578123,249949.0,3828072,3803495,3489318,38943,38693,35497
1999-01-01,3864524,302169.0,4166694,4139292,3800560,41625,41352,37968
2000-01-01,4024831,301905.0,4326736,4286910,3924698,42461,42070,38515
2001-01-01,4241595,293861.0,4535456,4499695,4112858,43610,43266,39547
2002-01-01,4406074,301910.0,4707984,4676257,4268230,44583,44283,40419
2003-01-01,4757084,320965.0,5078049,5043422,4609081,47370,47047,42995
2004-01-01,5092503,387877.0,5480380,5442938,4967090,50325,29054,45611
2005-01-01,5514228,400386.0,5914614,5872936,5351624,53478,32604,48387
2006-01-01,5958367,433008.0,6391375,6342389,5770565,56964,37624,51431
2007-01-01,6398295,482712.0,6881007,6852740,6219065,60466,42866,54649
2008-01-01,6674215,419188.0,7093403,7052191,6358644,61468,47498,55101
2009-01-01,7131836,519242.0,7651078,7606319,6837719,65394,54089,58442
2010-01-01,7704514,596721.0,8301235,8211816,7373384,69994,63682,62170
2011-01-01,8106946,629383.0,8736329,8659505,7742330,71609,70980,63462
2012-01-01,8546275,666741.0,9213017,9104662,8094001,74599,73722,65538
2013-01-01,9063649,737721.0,9801370,9679027,8578417,78348,77370,68572
2014-01-01,9712133,815541.0,10527674,10402987,9224343,83091,82107,72805
2015-01-01,10491870,877623.0,11369493,11234571,9963681,88616,87565,77659
2016-01-01,11328285,979909.0,12308193,12163619,10782092,94751,93638,83003
2017-01-01,12034171,1110412.0,13144582,12998695,11508774,100035,98925,87586
2018-01-01,12733798,1259116.0,13992914,13840474,12226019,105448,104299,92133
2019-01-01,13219476,1296482.0,14515958,14374253,12641633,108247,107191,94270
2020-01-01,12585074,973400.0,13558473,13368279,11536004,100032,98629,85110
2021-01-01,13798025,,14925840,14619532,12670834,109060,106822,92583
