Year,Small Coins,Re. 1 Notes,Re. 1 Coins,Rs. 2 Coins,Rs. 5 Coins,Rs. 10 Coins,Re. 20 Coins,Rs. 2 Notes,Rs. 5 Notes,Rs. 10 Notes,Rs. 20 Notes,Rs. 50 Notes,Rs. 100 Notes,Rs. 200 Notes,Rs. 500 Notes,Rs. 1000 Notes,Rs. 2000 Notes
2021-01-01,700.0,382.0,4777.0,6816.0,9217.0,5404.0,674.0,853.0,3431.0,27805.0,22026.0,43571.0,181421.0,120881.0,2277340.0,,428394.0
2020-01-01,700.0,377.0,4749.0,6757.0,8968.0,5139.0,179.0,853.0,3454.0,29368.0,18116.0,43762.0,190555.0,116608.0,1933951.0,,490195.0
2019-01-01,700.0,370.0,4719.0,6703.0,8800.0,5013.0,,853.0,3478.0,30402.0,16599.0,43004.0,199021.0,107293.0,1472373.0,,547952.0
2018-01-01,700.0,359.0,4673.0,6631.0,8576.0,4905.0,,853.0,3519.0,31260.0,17425.0,43007.0,200738.0,80010.0,1075881.0,,658199.0
2017-01-01,700.0,343.0,4963.0,6571.0,8324.0,5049.0,,853.0,3580.0,30645.0,20032.0,36715.0,222149.0,37053.0,773429.0,6610.0,672642.0
2016-01-01,700.0,321.0,4514.0,6411.0,7891.0,5204.0,,853.0,3645.0,36929.0,20315.0,35564.0,252801.0,,294098.0,8925.0,657063.0
2015-01-01,700.0,309.0,4178.0,5926.0,7045.0,3703.0,,853.0,3680.0,32015.0,9847.0,19450.0,157783.0,,785375.0,632568.0,
2014-01-01,700.0,299.0,3863.0,5407.0,6380.0,2750.0,,854.0,3702.0,30304.0,8699.0,17436.0,150265.0,,656391.0,561245.0,
2013-01-01,700.0,299.0,3842.0,4965.0,5789.0,2017.0,,851.0,3714.0,26648.0,8569.0,17242.0,147646.0,,570248.0,508137.0,
2012-01-01,700.0,299.0,3289.0,4423.0,5338.0,1267.0,,851.0,3687.0,25168.0,7650.0,17305.0,144210.0,,535950.0,429900.0,
2011-01-01,739.0,299.0,3142.0,3640.0,4990.0,648.0,,851.0,3643.0,23002.0,7020.0,17438.0,141188.0,,512807.0,346881.0,
2010-01-01,1458.0,299.0,2968.0,3068.0,4535.0,300.0,,851.0,3430.0,21288.0,6040.0,15980.0,140243.0,,445311.0,302713.0,
2009-01-01,1455.0,299.0,2647.0,2640.0,3880.0,149.0,,698.0,2233.0,18536.0,4681.0,21057.0,138364.0,,364479.0,238252.0,
2008-01-01,1455.0,300.0,2396.0,2236.0,3570.0,,,665.0,2271.0,12222.0,4399.0,24440.0,137028.0,,308304.0,191784.0,
