,Year,Population (Crore),GDP at Factor Cost,Consumption of Fixed Capital,NDP at Factor Cost,Indirect Taxes less Subsidies,GDP at Market Prices,NDP at Market Prices,Net Factor Income from Abroad,GNP at Factor Cost,NNP at Factor Cost,GNP at Market Prices,NNP at Market Prices,PFCE,PFCE in the Domestic Market,GFCE,Personal Disposable Income,GDP of Public sector ,NDP of Public  Sector,Gross Domestic Capital Formation,Net Domestic Capital Formation,Gross Domestic Saving,Net Domestic Saving,Per Capita GNP at Factor Cost (Rs),Per Capita NNP at Factor Cost (Rs),Net National Disposable Income
6,1950-51   ,35.9,9719.0,526.0,9193.0,366.0,10085.0,9559.0,-41.0,9678.0,9152.0,10044.0,9518.0,8990.0,9643.0,580.0,8858.0,,,850.0,324.0,871.0,345.0,270.0,255.0,
7,1951-52   ,36.5,10262.0,591.0,9670.0,460.0,10721.0,10130.0,-35.0,10227.0,9635.0,10686.0,10095.0,9864.0,10581.0,609.0,9298.0,,,1152.0,561.0,969.0,378.0,280.0,264.0,
8,1952-53   ,37.2,10120.0,634.0,9486.0,402.0,10522.0,9888.0,-25.0,10095.0,9461.0,10497.0,9863.0,9841.0,10556.0,630.0,9237.0,,,811.0,177.0,845.0,211.0,271.0,254.0,
9,1953-54   ,37.9,11019.0,647.0,10372.0,433.0,11452.0,10805.0,-19.0,11000.0,10353.0,11433.0,10786.0,10708.0,11486.0,665.0,10125.0,,,862.0,215.0,875.0,228.0,290.0,273.0,
10,1954-55   ,38.6,10351.0,677.0,9674.0,482.0,10834.0,10157.0,-29.0,10322.0,9645.0,10805.0,10128.0,9966.0,10690.0,694.0,9392.0,,,1004.0,327.0,988.0,311.0,267.0,250.0,
11,1955-56   ,39.3,10518.0,481.0,10037.0,512.0,11030.0,10548.0,-10.0,10508.0,10027.0,11020.0,10538.0,9968.0,10692.0,744.0,9794.0,,,1395.0,914.0,1356.0,875.0,267.0,255.0,
12,1956-57   ,40.1,12556.0,546.0,12011.0,584.0,13140.0,12594.0,-17.0,12539.0,11994.0,13123.0,12577.0,11757.0,12611.0,820.0,11692.0,,,1921.0,1375.0,1561.0,1015.0,313.0,299.0,
13,1957-58   ,40.9,12837.0,621.0,12215.0,699.0,13536.0,12914.0,-20.0,12817.0,12195.0,13516.0,12894.0,11926.0,12793.0,959.0,11933.0,,,1829.0,1208.0,1356.0,735.0,313.0,298.0,
14,1958-59   ,41.8,14360.0,685.0,13674.0,726.0,15086.0,14401.0,-35.0,14325.0,13639.0,15051.0,14366.0,13539.0,14522.0,1028.0,13362.0,,,1755.0,1070.0,1379.0,694.0,343.0,326.0,
15,1959-60   ,42.6,15083.0,765.0,14318.0,812.0,15895.0,15130.0,-57.0,15026.0,14261.0,15838.0,15073.0,14074.0,15097.0,1083.0,13971.0,,,1951.0,1186.0,1720.0,955.0,353.0,335.0,
16,1960-61   ,43.4,16512.0,847.0,15665.0,896.0,17407.0,16560.0,-72.0,16440.0,15593.0,17335.0,16488.0,15207.0,16312.0,1182.0,14983.0,1638.0,1352.0,2433.0,1586.0,1952.0,1105.0,379.0,359.0,
17,1961-62   ,44.4,17424.0,945.0,16479.0,1021.0,18445.0,17501.0,-98.0,17326.0,16381.0,18347.0,17403.0,15902.0,17057.0,1313.0,15719.0,1846.0,1520.0,2419.0,1474.0,2074.0,1129.0,390.0,369.0,
