Year,Exports Oil,Exports Non-Oil,Exports Total,Imports Oil,Imports Non-Oil,Imports Total,Trade Balance Oil,Trade Balance Non-Oil,Trade Balance Total
2021-22   ,503850,2643171,3147021,1207803,3364972,4572775,-703953,-721800,-1425753
2020-21   ,190896,1968147,2159043,611353,2304605,2915958,-420457,-336458,-756914
2019-20   ,292340,1927514,2219854,925168,2435787,3360954,-632828,-508273,-1141100
2018-19   ,325929,1981797,2307726,986275,2608400,3594675,-660346,-626602,-1286948
2017-18   ,241435,1715080,1956515,700321,2300713,3001033,-458886,-585633,-1044519
2016-17   ,211509,1637925,1849434,583217,1994458,2577675,-371708,-356534,-728242
2015-16   ,199638,1516747,1716384,540505,1949801,2490306,-340867,-433054,-773921
2014-15   ,346082,1550363,1896445,842874,1894212,2737087,-496792,-343849,-840641
2013-14   ,383248,1521763,1905011,997885,1717548,2715434,-614638,-195785,-810423
2012-13   ,330819,1303500,1634318,891871,1777291,2669162,-561052,-473792,-1034844
2011-12   ,267915,1198045,1465959,743075,1602388,2345463,-475160,-404344,-879504
2010-11   ,188779,954143,1142922,482282,1201185,1683467,-293503,-247042,-540545
2009-10   ,132899,712635,845534,411649,952086,1363736,-278750,-239452,-518202
2008-09   ,123398,717357,840755,419968,954468,1374436,-296570,-237111,-533680
2007-08   ,114192,541672,655864,320655,691657,1012312,-206463,-149985,-356448
2006-07   ,84520,487259,571779,258572,581935,840506,-174052,-94675,-268727
2005-06   ,51533,404885,456418,194640,465769,660409,-143107,-60884,-203991
2004-05   ,31404,343935,375340,134094,366971,501065,-102690,-23035,-125725
2003-04   ,16397,276969,293367,94520,264588,359108,-78123,12382,-65741
2002-03   ,12469,242668,255137,85367,211839,297206,-72898,30829,-42069
2001-02   ,10107,198911,209018,66770,178430,245200,-56663,20482,-36182
2000-01   ,8542,195029,203571,71497,159376,230873,-62955,35653,-27302
1999-00   ,169,159393,159561,54649,160588,215237,-54480,-1195,-55675
1998-99   ,376,139377,139753,26919,151413,178332,-26543,-12036,-38579
1997-98   ,1311,128790,130101,30341,123835,154176,-29030,4955,-24076
1996-97   ,1710,117107,118817,35629,103291,138920,-33918,13816,-20103
1995-96   ,1518,104836,106353,25174,97505,122678,-23656,7331,-16325
1994-95   ,1309,81365,82674,18613,71358,89971,-17304,10007,-7297
1993-94   ,1248,68504,69751,18046,55055,73101,-16798,13449,-3350
1992-93   ,1379,52309,53688,17142,46233,63375,-15763,6076,-9686
1991-92   ,1022,43020,44042,13127,34724,47851,-12105,8295,-3809
1990-91   ,938,31620,32558,10816,32377,43193,-9878,-757,-10635
1989-90   ,697,26962,27658,6273,29056,35328,-5576,-2094,-7670
1988-89   ,505,19727,20232,4358,23878,28235,-3853,-4151,-8004
1987-88   ,649,15025,15674,4043,18201,22244,-3394,-3176,-6570
1986-87   ,411,12041,12452,2811,17285,20096,-2399,-5245,-7644
1985-86   ,645,10250,10895,4989,14668,19658,-4345,-4418,-8763
1984-85   ,1818,9926,11744,5409,11725,17134,-3591,-1800,-5391
1983-84   ,1588,8183,9771,4832,11000,15832,-3244,-2817,-6061
1982-83   ,1235,7568,8803,5622,8671,14293,-4387,-1103,-5489
1981-82   ,221,7585,7806,5189,8418,13608,-4968,-833,-5802
1980-81   ,25,6686,6711,5264,7286,12549,-5239,-600,-5838
1979-80   ,19,6400,6418,3267,5876,9143,-3248,524,-2724
1978-79   ,14,5712,5726,1677,5134,6811,-1663,578,-1085
1977-78   ,16,5392,5408,1551,4469,6020,-1535,923,-612
1976-77   ,19,5124,5143,1413,3660,5074,-1395,1464,69
1975-76   ,19,4017,4036,1226,4039,5265,-1207,-22,-1229
1974-75   ,14,3315,3329,1157,3362,4519,-1143,-47,-1190
1973-74   ,12,2511,2523,560,2395,2955,-548,116,-432
1972-73   ,29,1943,1972,204,1663,1867,-175,279,104
1971-72   ,11,1598,1608,194,1630,1825,-184,-33,-216
1970-71   ,9,1527,1535,136,1498,1634,-127,28,-99
