Financial Year,GVA at Basic Prices,Net taxes on Products,Gross Domestic Product,Gross National Income,Net National Income,Per Capita GDP,Per Capita GNI,Per Capita NNI
1950-51   ,479210,17638,496848,495274,448483,13840,13796,12493
1951-52   ,490399,21091,511489,510505,465486,14013,13986,12753
1952-53   ,504315,20604,524919,524122,480731,14111,14089,12923
1953-54   ,535010,22193,557203,556545,514489,14702,14685,13575
1954-55   ,557724,26287,584011,583005,548393,15130,15104,14207
1955-56   ,572009,30902,602911,602537,567499,15341,15332,14440
1956-57   ,604570,31974,636544,635962,599736,15874,15859,14956
1957-58   ,597260,36667,633927,633039,595941,15499,15478,14571
1958-59   ,642587,38189,680776,679555,640433,16286,16257,15321
1959-60   ,656648,41996,698644,696488,656423,16400,16349,15409
1960-61   ,703138,33906,737044,734466,694569,16983,16923,16004
1961-62   ,724957,39525,764482,761038,719592,17218,17140,16207
1962-63   ,740293,46597,786890,782931,739509,17332,17245,16289
1963-64   ,777773,56286,834059,830072,784625,17975,17889,16910
1964-65   ,836759,59462,896221,891111,842755,18908,18800,17780
1965-66   ,806176,66423,872598,867165,816540,17992,17880,16836
1966-67   ,814380,57735,872116,866818,812952,17618,17511,16423
1967-68   ,880654,59713,940367,933850,876628,18584,18456,17325
1968-69   ,903636,68590,972226,966014,905884,18769,18649,17488
1969-70   ,962522,73285,1035807,1029151,965200,19580,19455,18246
1970-71   ,1010777,78449,1089226,1082340,1011757,20134,20006,18702
1971-72   ,1020982,86138,1107121,1100363,1026822,19984,19862,18535
1972-73   ,1017730,83265,1100995,1094795,1018453,19418,19309,17962
1973-74   ,1064051,73228,1137279,1131633,1052122,19608,19511,18140
1974-75   ,1076403,74357,1150759,1146339,1062259,19406,19331,17913
1975-76   ,1173327,82726,1256053,1252240,1164066,20693,20630,19177
1976-77   ,1187992,88950,1276942,1273436,1179925,20596,20539,19031
1977-78   ,1276734,92847,1369581,1366655,1269352,21602,21556,20021
1978-79   ,1346987,100832,1447819,1445029,1343841,22343,22300,20738
1979-80   ,1276924,95056,1371980,1371460,1265522,20662,20655,19059
1980-81   ,1368481,95913,1464394,1464390,1352931,21567,21567,19925
1981-82   ,1445465,106883,1552348,1550504,1433659,22433,22406,20718
1982-83   ,1487737,118567,1606304,1599940,1476733,22688,22598,20858
1983-84   ,1604580,118805,1723386,1716327,1587882,23837,23739,21962
1984-85   ,1668141,121090,1789232,1779406,1642628,24212,24079,22228
1985-86   ,1737565,145678,1883243,1873425,1728209,24944,24814,22890
1986-87   ,1812537,160660,1973197,1962251,1808778,25593,25451,23460
1987-88   ,1876600,174842,2051442,2036744,1872727,26034,25847,23766
1988-89   ,2067262,181689,2248950,2227956,2055937,27937,27676,25540
1989-90   ,2194056,188646,2382703,2360178,2178379,28987,28713,26501
1990-91   ,2310015,204534,2514549,2486353,2292078,29971,29635,27319
1991-92   ,2343059,198064,2541123,2511622,2303954,29686,29341,26915
1992-93   ,2468738,211700,2680438,2650632,2431154,30739,30397,27880
1993-94   ,2608995,198785,2807779,2780663,2551800,31477,31173,28608
1994-95   ,2775834,218913,2994747,2967254,2723964,32909,32607,29934
1995-96   ,2978143,243441,3221584,3192013,2934298,34715,34397,31620
1996-97   ,3215638,249160,3464798,3436436,3163037,36626,36326,33436
1997-98   ,3353964,251152,3605116,3581984,3287915,37397,37158,34107
1998-99   ,3578123,249949,3828072,3803495,3489318,38943,38693,35497
1999-00   ,3864524,302169,4166694,4139292,3800560,41625,41352,37968
2000-01   ,4024831,301905,4326736,4286910,3924698,42461,42070,38515
2001-02   ,4241595,293861,4535456,4499695,4112858,43610,43266,39547
2002-03   ,4406074,301910,4707984,4676257,4268230,44583,44283,40419
2003-04   ,4757084,320965,5078049,5043422,4609081,47370,47047,42995
2004-05   ,5092503,387877,5480380,5442938,4967090,50325,29054,45611
2005-06   ,5514228,400386,5914614,5872936,5351624,53478,32604,48387
2006-07   ,5958367,433008,6391375,6342389,5770565,56964,37624,51431
2007-08   ,6398295,482712,6881007,6852740,6219065,60466,42866,54649
2008-09   ,6674215,419188,7093403,7052191,6358644,61468,47498,55101
2009-10   ,7131836,519242,7651078,7606319,6837719,65394,54089,58442
2010-11   ,7704514,596721,8301235,8211816,7373384,69994,63682,62170
2011-12   ,8106946,629383,8736329,8659505,7742330,71609,70980,63462
2012-13   ,8546275,666741,9213017,9104662,8094001,74599,73722,65538
2013-14   ,9063649,737721,9801370,9679027,8578417,78348,77370,68572
2014-15   ,9712133,815541,10527674,10402987,9224343,83091,82107,72805
2015-16   ,10491870,877623,11369493,11234571,9963681,88616,87565,77659
2016-17   ,11328285,979909,12308193,12163619,10782092,94751,93638,83003
2017-18   ,12034171,1110412,13144582,12998695,11508774,100035,98925,87586
2018-19   ,12733798,1259116,13992914,13840474,12226019,105448,104299,92133
2019-20   ,13219476,1296482,14515958,14374253,12641633,108247,107191,94270
2020-21   ,12585074,973400,13558473,13368279,11536004,100032,98629,85110
2021-22   ,13798025,-,14925840,14619532,12670834,109060,106822,92583
