Month,"IMPS Volume(Lakh)"," IMPS Value (Rupees Crore)","NACH Cr Volume (Lakh)","NACH Cr Value (Rupees Crore)","NEFT Volume (Lakh)"," NEFT Value (Rupees Crore)","UPI Volume (Lakh)"," UPI Value (Rupees Crore)","BHIM Aadhaar Pay Volume (Lakh)","BHIM Aadhaar Pay Value (Rupees Crore)","NACH Dr Volume (Lakh)","NACH Dr Value (Rupees Crore)","Credit Cards Volume (Lakh)","Credit Cards Value (Rupees Crore)","Debit Cards Volume (Lakh)","Debit Cards Value (Rupees Crore)","Wallets Volume (Lakh)","Wallets Value (Rupees Crore)"
Nov-19,2280.75,202904,706.05,90941,2194.59,1734651,12187.71,189229,6.46,97,522.31,52792,1762.12,60130,4180.84,58209,3354.08,14652
Dec-19,2564.67,210934,659.48,78362,2336.88,1942231,13084.02,202521,7.37,112,531.45,54171,2036.64,65736,4448.75,62752,3652.64,15835
Jan-20,2595.26,216811,1407.61,81544,2605.55,1929464,13050.19,216243,9.36,141,536.08,55108,2017.27,66573,4500.85,62871,3876.23,15408
Feb-20,2477.98,214566,753.52,78710,2483.57,1870494,13256.93,222517,9.67,149,540.99,55013,1882.94,62147,4245.74,58561,3782.82,14461
Mar-20,2168.23,201962,1134.79,129113,2623.7,2283665,12468.45,206462,8.88,141,256.21,34095,1638.57,50574,3608.13,48209,3178.6,13111
Apr-20,1224.75,121141,2657.38,90089,1759.79,1306406,9995.74,151141,20.66,217,667.06,55805,768.53,20765,2053.66,23250,1841.26,8693
May-20,1666.8,169402,995.63,134229,1929.39,1481750,12344.97,218392,13.4,159,640.09,50767,1028.86,32225,2658.82,37984,2532.24,11080
Jun-20,1989.12,206951,1337.29,112285,2274.01,1906586,13369.31,261835,14.67,186,788.94,70492,1248.55,42773,3002.34,47711,2905.68,12132
Jul-20,2220.99,225775,1053.63,98960,2401.03,1963113,14973.54,290538,15.96,216,801.08,68083,1319.66,45558,3161.93,50325,3205.59,12892
Aug-20,2461.25,235137,1775.28,84523,2346.09,1930552,16188.28,298308,19.5,253,791.81,66830,1425.11,50311,3389.42,54770,3967.82,13000
